  n  |                  title                   | year | rt  | _ | rt_is_matched | t  |                                           gantt_days                                            
 228 | Manhandled                               | 1924 |     |   | t             |    |                    17
 229 | The Rider                                | 2018 |  97 | O | t             |  4 |                    17--              ------- --------------            ------------------86
 230 | You Were Never Really Here               | 2018 |  87 | O | t             |  2 |                    17--                            -----------------           --------------89
 231 | GoodFellas                               | 1990 |  96 | O | t             |  2 |                    17--                                 --    -6060
 232 | On Dangerous Ground                      | 1952 | 100 | o | t             |    |                    17- 20
 233 | Eating Animals                           | 2018 |  94 | o | t             |  2 |                    17- --------------------40
 234 | A Fistful of Dollars                     | 1964 |  98 | O | t             |    |                    17-         -     --- -- ------ --50
 235 | The Changeling                           | 1980 |  76 | o | t             |    |                    17-                              -50
 236 | A Wrinkle in Time                        | 2018 |  40 | * | t             |  5 |                    17-                                          -------------------------  -89
 237 | Blue Steel                               | 1992 |  71 | o | t             |    |                    17  20
 238 | Easy Living                              | 1937 | 100 | o | t             |    |                    17     23
 239 | Good Will Hunting                        | 1998 |  97 | O | t             |    |                     18
 240 | Shame, Shame...Everybody Knows Her Name  | 1969 |     |   | f             |    |                     18
 241 | Smithereens                              |      |     |   | f             |    |                     18
 242 | Coming to America                        | 1988 |  67 | o | t             |    |                     1819
 243 | The Holy Mountain                        | 1973 |  81 | o | t             |    |                     18-     -26
 244 | The Naked City                           | 1948 |  86 | o | t             |    |                     18 20
 245 | Breakfast at Tiffany's                   | 1961 |  88 | O | t             |    |                     18  21
 246 | Looking for Mr. Goodbar                  | 1977 |  76 | o | t             |    |                     18   22
 247 | Pillow Talk                              | 1959 |  92 | o | t             |    |                      19
 248 | The Private Afternoons of Pamela Mann    |      |     |   | f             |    |                      19
 249 | To Die For                               | 1995 |  87 | O | t             |    |                      19  -     28
 250 | Moonstruck                               | 1988 |  92 | O | t             |    |                      19   23
 251 | Baby Face                                | 1933 | 100 | o | t             |    |                       20
 252 | Lewis & Clark: Great Journey West        | 2002 |  78 | o | t             |    |                       20
 253 | Paranoid Park                            | 2008 |  76 | O | t             |    |                       20
 254 | Double Feature - Ant-Man & The Wasp      | 2018 |     |   | f             |  2 |                       20
 255 | Recovery Boys                            |      | 100 | o | t             |    |                       20---24
 256 | Dark River                               | 2018 |  77 | O | t             |    |                       20-----26
 257 | Ideal Home                               | 2018 |  68 | o | t             |    |                       20-----26
 258 | Woman Walks Ahead                        | 2018 |  54 | * | t             |    |                       20-----26
 259 | Hover                                    | 2018 |  20 | * | t             |    |                       20-----26
 260 | Black Water                              | 2018 |   0 | * | t             |    |                       20-----26
 261 | Summer 1993                              | 2018 | 100 | O | t             |    |                       20------------33
 262 | Gabriel and the Mountain                 | 2018 |  77 | o | t             |    |                       20-------------------40
 263 | Nancy                                    |      |  80 | o | t             |    |                       20--------------------------47
 264 | The Gospel According to André            | 2018 |  89 | o | t             |  2 |                       20-----------------------------------------         70
 265 | Mary Shelley                             | 2018 |  33 | * | t             |  2 |                       20----------  ----------------------55
 266 | Rock Rubber 45s                          |      |     |   | t             |    |                       20----  27
 267 | Porco Rosso                              | 1992 |  94 | o | t             |    |                       20 22
 268 | The Hit                                  |      |  85 | o | t             |    |                       20 22
 269 | Happy Feet                               | 2006 |  75 | O | t             |    |                       20 22
 270 | Five Seasons: The Gardens of Piet Oudolf |      |  82 | o | t             |    |                       20 ------------------40
 271 | Funny Girl                               | 1968 |  93 | O | t             |    |                        21
 272 | Tootsie                                  | 1982 |  89 | O | t             |    |                        21
 273 | The First Wives Club                     | 1996 |  41 | * | t             |    |                        21
 274 | Star Spangled to Death                   |      |     |   | t             |    |                        21
 275 | The Leakers                              | 2018 |     |   | t             |    |                        21----26
 276 | Race 3                                   | 2018 |  11 | * | t             |  3 |                        21------------------40
 277 | Jaws                                     | 1975 |  97 | O | t             |    |                         22
 278 | Working Girl                             | 1989 |  85 | o | t             |    |                         2223
 279 | Girls About Town                         | 1931 |     |   | f             |    |                         2223
 280 | Drugstore Cowboy                         | 1989 | 100 | o | t             |    |                          23   27
 281 | Sweet Charity                            | 1969 | 100 | o | t             |    |                           24
 282 | The Phantom Tollbooth                    | 1970 | 100 | o | t             |    |                           24
 283 | Auntie Mame                              | 1958 |  92 | o | t             |    |                           24
 284 | Times Square                             |      |  50 | * | t             |    |                           24
 285 | Tron                                     | 1982 |  70 | o | t             |    |                           2425
